index,content,A,B,C,D,ans
143,因未能及时缴纳住宿费，学生沈某被班主任取消了参加运动会的资格，陆老师这种做法,体现了学校对学生实施奖励或处分的权利,体现了学校组织实施教育教学活动的权利,侵犯了学生参加教育教学计划安排的各种活动的权利,侵犯了学生在学生成绩和品行上获得公正评价的权利,C
144,某中学在招聘新教师时，对拟聘教师进行了心理健康测评，依据《关于加强和改进新时代师德师风建设的意见》，对该人心理健康测评结果，下列选项中正确的是,应作为教师聘用的重要参考,应作为教师聘用的前提条件,应作为教师聘用合同的内容,应作为教师聘用的直接依据,A
145,在现有教材基础上，陈老师从大铭家名篇中为学生精选阅读材料，这说明陈老师具有,良好的课程设计与评价能力,良好的课堂管理能力,良好的课程开发意识与能力,良好的课堂观察能力,C
146,下列选项中，由全国人民代表大会产生，对负责，受其监督的是,国家教材委员会,中央军事委员会,国家发展和改革委员会,中央纪律检查委员会,D
147,某县人民政府不顾薄弱学校实际需求，将有限的教育资源投入到两所优质初中。该县级政府的做法()。,合法，有利于提高教育质量,合法，县级政府有权自主管理,不合法，应当均衡教育资源,不合法，应当平均分配教育资源,C
148,汪某就读于某师范大学数学教育本科专业，依据中华人民共和国教师法，他可以享受,医疗补贴,购房补贴,专业奖学金,国家奖学金,C
149,为改善办学条件，某中学要求所有在校师生按比例集资捐款，用于购买图书资料及教育设施设备。对于该校的行为，应由教育行政部门对直接负责的主管人员和其他直接责任人员给予。,民事制裁,行政处罚,刑事处罚,行政处分,D
150,13岁的初中生王某因购买网络游戏装备曾多次盗窃学校财务，对于王某的行为可以采取的措施不包括:(),给予警告或记过处分,送专门学校进行矫治,处以有期徒刑和罚金,由家长和学校严加管教,C
151,孙晓波经常被王老师在课堂上点名批评:“孙晓波又迟到了”。孙晓波的试卷订正总是有错误。孙晓波跟同学说:“老师天天训我，让我很没面子，我就更要给他添点乱子。”该事例表明王老师应该注意(),优化出分的方法,重视学生的学习,加大惩罚的力度,尊重学生的人格,D
152,1972年10月17日至11月21日，教科文组织在巴黎举行第17届会议，通过了《世界文化和自然遗产保护公约》，明确了文化遗产的定义和范围。下列选项中，不能作为“文物”系列申报世界文化遗产的是,铭文,洞窟,碑雕碑画,人类工程,D
153,我国古人善用对联吟咏杰出历史人物。“志见《出师表》，好为《梁父吟》。“这副对联所说的三国时期的人物是().,冯懿,诸葛亮,刘备,周瑜,B
154,中国古代封建制度两千多年。下列近代历史事件，以推翻封建制度为目标的是(),戊成变法,义和团运动,辛亥革命,新文化运动,C
155,北美殖民地人民宣部成立美利坚合众国，正式成立美利坚合众国的纲领性文件是(),《权利法案》,《独立宣言》,《人权宣言》,《联邦宪法》,B
156,《论语》有很多教育思想的言论。下列教育名訃緗《论语》的是,博学而笃志，切问而近思,敏而好学，不耻下问,闻道有先后，术业有专攻,学而不厌，诲人不倦,C
157,标准分是在原始分的基础上，按一定的规则推导出来的。其种类很多，最常用的是，百分制度标准分数。如果一名学生的物理测验成绩为85分，班级平均成绩为82分，标准差12，则该生此次测验的标准分数是()。,0.25,0.96,82,83,A
158,一年来，任老师的家人接二连三地生病住院，她每天下班后都要到医院去照顾。可是，她还是认真地上好每一堂课，耐心地解答学生的困惑。任老师的做法体现的教师职业行为选择标准是()。,功利性与超功利性的统一,生观性与客观性的统一,根本性与确定性的统一,全局性与稳定性的统一,A
159,学生晓齐连续几天没有按时上交数学作业，李老师主动与家长联系，了解情况后提出优化家庭学习环境的具体建议。李老师的做法体现的家校合作要求是(),教师应承担对家庭教育的管理职责,学校教育应保持根本利益的一致性,家庭教育应成为学校教育的延伸,家长应服从教师的教育要求,B
160,在Word编辑状态中，插入特殊符号(如“°C”或“★”)，下列选项中，可实现此功能的是(),编辑,插入,格式,视图,B
161,记录了我国古代伟大教育学家孔子关于哲学政治伦理和教育等方面的言论的著作是(),论语,学记,大学,中庸,A
162,在教育多样化发展阶段美国教育学家杜威创立的是(),实验教育学,批判教育学,文化教育学,实用主义教育学,D
163,教育作为一种社会现象，在不同的社会发展阶段或同一社会发展阶段的不同时期，其目的，内容，方法，段等都会相应的发生变化，这表明教育具有(),独立性,历史性,阶段性,永恒性,B
164,人们常说的“三翻，六坐，八爬，十个月会喊爸爸”，反映了哪-因素对人的身心发展的制约()。,遗传,环境,教育,个人能动性,A
165,在儿童身心发展的某一关键期着力是以相应的教育则能取得事半功倍的效果，这反映了教育应适应儿童身心发展的哪一特征(),顺序性,稳定性,不均衡性,个别差异性,C
166,某中学地处杂技之乡，在专家指导下开设了初级杂技课程，这种课程属于(),国家课程,地方课程,校本课程,潜在课程,C
167,赵老师在新学期开始对所教班级学生的化学学习情况进行了摸底测验，弄清了学生化学学科核心素养发展的基本情况，据此对已有的学期教学设计进行了调整，赵老师的这种摸底测验属于(),形成性评价,诊断性评价,总结性评价,相对性评价,B
168,“身正不令而行，身不正虽令不从”这体现的德育方法是(),实际锻炼法,个人修养法,榜样示范法,品德评价法,C
169,根据艾里克森的人格发展阶段理论，自我同一性对角色混乱这一冲突和矛盾主要出现在哪个年龄阶段?(),3-6岁,7-12岁,13-18岁,19-25岁,C
170,根据奥尔波特人格理论，中国人所具有的勤劳善良朴实等特征属于,共同特质,首要特质,中心特质,次要特质,A
171,吴水即将高中毕业，他既想读国外的大学，又想读国内高校，迟迟不能做出选择，他的这种动机冲突属于()。,双避型,趋避型,双趋型,多重趋避型,C
172,教育制度虽然反映着人们的主观愿望和价值需求，但是教育制度的制定不是随心所欲的，每种教育制度都有它的现实基础和发展规律。这表明教育制度具有(),客观性,规范性,历史性,强制性,A
173,“教育的主要任务在于使学生的官能得到发展，至于学科内容的实用意义则是无关紧要的”。这种观点属于,实质教育论,形式教育论,传统教育论,现代教育论,B
174,在现代教学理论中，教学方法指的是(),教师为完成教学任务用的工作方法,学生为完成学习任务使用的学习方法,教师教学方式和教学方法的总和,教师教的方法和学生学的方法的总和,D
175,"张老师让学生在规定的时间内写出带有“口”的字。李强不仅写出了与口的活动有关的字，如“吃、喊、吐、叫”，还写出其他类别的字，如“邑、困、照、赢""等。这主要反映的是李强的哪一种思维能力?",发散思维,聚合思维,抽象思维,动作思维,A
176,王琳不知不觉就会唱许多流行歌曲。她的这种学习属于(),发现学习,替代学习,内隐学习,外显学习,C
177,张明近期变得不敢出门、不敢见人，尤其是一见到老师和同学就冒冷汗、手脚冰凉，甚至有些呼吸困难。他的这些表现属于哪种心理问题?,抑郁,癔症,焦虑,社交恐惧,D
178,王老师对自己的教学能力非常自信，认为自己能够取得突出的教学成果。这主要反映了王老师的哪种职业心理素质?,自主感,角色期待感,教学效能感,教学责任感,C
179,鉴于何雷这学期各方面有明显进步，学校撤销了对他原有的警告处分。学校采用的行为矫正方法属于,正强化,负强化,正惩罚,负惩罚,B
180,孙琳认为自己应该爱护集体、团结同学、帮助同学、尊老爱幼。这反映了品德心理结构的哪一方面?,道德情感,道德认识,道德意志,道德行为,B
181,王老师讲课时发现有些同学注意力不集中，于是提问:我刚才讲的问题大家是怎么理解的，以以|起全班同学的注意。老师采用的这种课堂管理方法属于(),个人问责,团体警觉,转换管理,全体责任,B
182,冯老师批改作业时常抱怨：“讲了多少遍，可还是答不上!真不知道现在的学生都怎么了!”这说明冯老师(),具有教学评价能力,缺乏教学组织能力,具有教学研究意识,缺乏教学反思能力,D
183,为满足学生的个性化学习需求，一所中学开发了一组研学旅行项目，安排本校地理老师作为研学导师全程指导学生完成相关的研学任务。该做法体现的教育观是(),关注学生的差异性,关注育人的实践性,发挥学生的能动性,重视学生的操作性,B
184,庄老师在教学日志中写道：“课前准备的好好的，就害怕学生提出一些问题打断我，学生一问问题我就感觉大脑一片空白……”庄老师所处的教师专业发展阶段是(),自我更新关注阶段,虚拟关注阶段,关注学生阶段,关注生存阶段,D
185,某校在初三年级实行两张课程表，一张公开的应对检查，一张不公开的实际执行，以提高升学率。对于该校做法，下列说法正确的是(),遵循了学科教学的基本规则,降低了学生学习的效率,漠视了学生全面发展的需要,体现了学校办学的特色,C
186,根据我国《xian法》规定，全国人民代表大会举行会议的召集者为(),全国人民代表大会的代表,全国人民代表大会常委会,全国人民代表大会主席团,全国人民代表大会代表团,B
187,张某为了找工作，购买了假冒硕士研究生毕业证书，构成违反治安管理行为。依据《中华人民共和国教育法》，公安机关应对张某(),追究民事责任,予以治安管理处罚,追究刑事责任,予以教育行政处分,B
188,李某大学毕业后，应聘到一所民办中学任教，他的工资待遇应由(),国家确定并由举办者予以保障,国家确定并予以保障,举办者确定并由国家予以保障,举办者自行确定并予以保障,D
189,初三学生雷鸣因抢劫被判处有期徒刑，根据《中华人民共和国义务教育法》，其在服刑期间接受义务教育所需经费应由(),雷鸣本人承担,雷鸣父母承担,人民政府予以保障,司法部门予以保障,C
190,李某强迫未成年学生沈明装扮残疾人在地铁乞讨。对于李某的行为应当由(),公安机关依法给予处罚,人民法院依法提起公诉,教育行政部门给予处罚,社会公益组织提起公诉,A
191,初中生肖强在班里成绩总是倒数第一，被班主任劝退。该班主任的做法(),不正确，该教师侵犯了肖强的受教育权,不正确，经家长同意后才可以劝退学生,正确，教师有教育学生的权利,正确，教师有管理学生的权利,A
192,初一学生余亮离校后故意将同学赵刚打伤，依据《学生伤害事故处理办法》，应对赵刚所受伤害承担赔偿责任的是(),余亮的监护人,余亮的班主任,余亮本人,学校,A
193,张老师在上课时发现一名学生没认真听课，便停下讲课对该生进行批评教育直到下课。这件事被学生家长反映到校长那里，张老师受到了校长的严厉批评。该事件中，张老师没有处理好教师劳动中的利益关系。对此，下列说法不正确的是(),张老师没有处理好社会利益关系,张老师没有处理好教育对象利益关系,张老师没有处理好行政管理利益关系,张老师没有处理好教师集体利益关,D
194,王老师就下周公开课的教学设计询问几位学生的想法，大家提出了不少令王老师意想不到的好建议。下列现象与该案例所体现的教师职业道德要求相符的是(),“亲其师，信其道”,“君子博学而日三省乎己”,“学而不思则罔，思而不学则殆”,“是故弟子不必不如师，师不必贤于弟子”,D
195,疫情期间，某民办学校王老师没有报备批准就自行前往疫情严重的国家旅游，造成严重后果。学校决定解除王老师的聘任合同。依据《中小学教师违反职业道德行为处理办法》，下列说法不正确的是(),学校在处理决定前应当听取王老师的申辩,学校在处理决定前应当听取家长委员会的意见,学校在处理决定前应当报请主管教育部门批准,学校在处理决定前应当准许王老师举行听证要求,C
196,校运动会报名时，喜欢跳绳的王伟报名参加跳绳比赛，喜欢跑步的李琪报名参加接力赛。考虑到王伟跳绳水平不如李琪，为了班级荣誉，高老师在确定参赛名单时指定李琪参加跳绳比赛，并劝说王伟放弃参赛。这表明高老师的行为选择原则是(),目的原则4,功利原则,关怀原则,公正原则,B
197,细菌是单细胞的微小原核生物，属于微生物的一大类，遍布于土壤、水、空气、有机体物质中及生物体内和体表，对自然界物质循环和全球生物平衡起着巨大作用。有些细菌能引起人和动植物的病害。下列病害中，属于细菌引起的是(),疟疾,麻疹,乙型肝炎,百日咳,D
198,对意大利民族语言的统一有着重大贡献，并被恩格斯称为“中世纪的最后一位诗人，同时又是新时代的最初一位诗人”的文艺复兴时期先驱性人物是(),但丁,薄伽丘,彼特拉克,马基雅维,A
199,太阳系中的一些行星在中国古代有独特的名称，这些名称反映了古人对其特征的认识。其中公转周期接近12年，因用以纪年而被称为“岁星”的是(),土星2,木星,金星,水星,B
200,世界文学人物画廊中，不乏经典的人物形象。下列人物中，由英国作家哈代塑造的是(),卡门,简·爱,娜拉,苔丝,D
201,我国的成语常与历史传说和人物有关。成语“入木三分”原指字迹的墨汁透入木板有三分深，后来形容书法笔力遒劲，也常用以比喻见解、议论深刻确切。与这个历史传说有关的书法家是(),王献之,王羲之,颜真卿,柳公权,B
202,国际电影节是国际性的电影展映评比活动，各大电影节都设置了自己的奖项。下列选项中，属于柏林国际电影节的最高奖项是(),金狮奖,金棕榈奖,金马奖,金熊奖,D
203,中位数是一组统计数据中的代表性数值。在一次考试后采集到一组数据{54，66，87，74，69，76，81，78，73，83，77，71}，则这组数据的中位数是(),73,74,75,76,C
204,在Word文档中，出现了多处相同的错误，下列操作中，可一次性更正的是(),使用“修订”命令,使用“撤消”与“恢复”命令,使用“定位”命令,使用“编辑”中的“替换”命令,D
205,下列选项中，与“大米-粮食”的逻辑关系一致的是(),“蜂蜜”和“蜂巢”,“花生油”和“食用油”,“面包”和“面粉”,“冷却液”和“润滑液”,B
