index,content,A,B,C,D,ans,科目
100,一定质量的理想气体，在某一过程中外界对气体做功400J，气体的内能减小了1200J，则该过程中（）。,吸收热量0.8×10³J,吸收热量1.6×10³J,放出热量0.8×10³J,放出热量1.6×10³J,D,物理
101,《网络安全法》是我国第一部全面规范网络空间安全管理方面问题的基础性法律，是我国网络空间法治建设的重要里程碑。其中网络安全法的三大原则是网络安全法的最基本要求，有关网络安全法的三大原则，下列说法不正确的是（）。,自主使用原则,共同治理原则,网络空间主权原则,网络安全与信息化发展并重原则,A,信息技术
102,2021年2月19日，公安机关接群众举报，网民“辣笔小球”在网络上发布恶意歪曲事实真相、诋毁贬损5名卫国戍边英雄官兵的违法言论，造成极其恶劣的社会影响。南京市公安局高度重视，立即开展调查，于当晚将发布违法言论的仇某某（网名“辣笔小球”）抓获，仇某某对自己的行为供认不讳，被南京警方以涉嫌寻衅滋事罪刑事拘留。下列说法正确的是（）。,这不属于对戍边英雄的侵害，纯属网络环境下的个人兴趣爱好,对网上诋毁贬损戍边英雄行为，公安机关将依法予以严厉打击,网络是虚拟空间，利用网络诋毁贬损戍边英雄影响面小不必介意,网络是虚拟空间，诋毁贬损戍边英雄有利于在网上扩大个人影响,B,信息技术
103,学校申请到一个C类IР地址，需要设置5个的子网，最大的一个子网有28台计算机，每个子网在一个网段中，则子网掩码应设为（）。,255.255.255.0,255.255.255.128,255.255.255.192,255.255.255.224,D,信息技术
104,保护数据库，防止未经授权或不合法的使用造成的数据泄漏、非法更改或破坏。这是指数据库的（）功能。,恢复,安全性,实验性,并发控制,B,信息技术
105,若二进制数M=10101101，P=1011，进行模2除法运算M/P，运算结果的商是（）。,10001,10011,10110,10111,B,信息技术
106,一段时长为1分钟，24位色，分辨率为1920×1080，帧频为30fps的HDTV（数字高清晰度电视）视频，若没有压缩，它的存储容量大约是（）。,177.9MB,211MB,356MB,10.4GB,D,信息技术
107,下列选项中不属于加密技术的是（）。,双向指数,公钥加密,单向函数,密钥加密,A,信息技术
108,风沙移动的最主要方式是（）。,跃移,悬移,推移,蠕移,A,地理
109,下列土壤结构中，保持和供给养分较好的是（）。,团粒状结构,柱状结构,片状结构,块状结构,A,地理
110,海洋可分近海带和大洋区，在水层垂直方向的界限通常是（）。,100m等深线处,200m等深线处,300m等深线处,400m等深线处,B,地理
111,2019年诺贝尔化学奖授予了在锂离子电池研究方面作出科学贡献的三位科学家。下列关于锂离子电池的说法正确的是（）。,目前，普通汽车的启动电瓶完全可以用锂离子电池替代,锂离子电池工作时，锂离子在正极和负极之间往返嵌入和脱嵌,锂离子电池属于无毒物质，废弃时可以与普通垃圾放在一起,锂离子电池的优势之一是比能量（单位质量释放的能量）低,B,化学
112,下列分析正确的是（）。,“粉骨碎身全不怕，要留清白在人间”只发生了物理变化,“日照澄洲江雾开”所描述的自然现象中有丁达尔效应存在,“日照香炉生紫烟”中的“紫烟”是指香炉中香烛燃烧产生的烟,“绿蚁新醅酒，红泥小火炉”，在酿酒过程中，葡萄糖主要发生了水解反应,B,化学
113,下列说法正确的是（）。,增大反应物浓度，可增大活化分子百分数，从而使有效碰撞次数增多,改变条件，使反应物的转化率增大，平衡常数也一定增大,自发反应一定是熵增反应，非自发反应一定是熵减小或不变的反应,升高温度能增大活化分子百分数，从而增大化学反应速率,D,化学
114,在化学教学过程中，教师要注意教学语言的科学性。下列表述正确的是（）。,催化剂能加快反应速率,非金属氧化物都是酸性氧化物,可用金属在水溶液中失去电子的难易来衡量其金属性强弱,可用金属的标准电极电势的大小来判断其金属活动性顺序,D,化学
115,科技发展日新月异，给中学化学实验教学也带来了较大的影响。下列说法正确的是（）。,应积极探索信息技术与化学实验教学的深度融合,化学实验史的教学价值不大，教学中应尽量少用,应把化学学科前沿知识和新技术应用到所有化学实验教学中,原有的经典化学实验过于陈旧，应努力把它们改造为微型探究实验,A,化学
116,化学教师对化学学科的理解情况直接影响教学的质量和效果。下列举措中不能增进教师对化学学科的理解的是（）。,教师主动参加有关化学学科知识的学习和培训,教师主动调查研究，通过多种方式深入了解学情,教研组、备课组有针对性地开展深入研讨化学学科内容的活动,教师主动参与“名师工作室”“学科教研基地”的相关教研活动,B,化学
117,核心概念是指能对众多事物和现象作出解释的大概念，具有较强的概括性、统摄性、持久性和迁移性。下列不属于初中化学核心概念的是（）。,元素,分子,单质,原子,C,化学
118,在进行“酸的化学性质”这一内容教学的小结时，某化学教师在黑板上写出“酸能使酸碱指示剂变色”。就知识的学习过程而言，该过程属于（）。,形成观念,猜想假设,获取证据,得出结论,D,化学
119,某同学在一次期末考试中，化学成绩为80分，物理成绩为75分，满分均为100分。下列说法正确的是（）。,该同学化学比物理学得好,该同学物理比化学学得好,该同学物理和化学成绩无显著差别,该同学物理和化学成绩不能直接比较,D,化学
120,下列关于技能性知识学习的表述错误的是（）。,化学用语的学习必须和它所反映的宏观现象、微观结构相结合,化学实验技能的培养要专门组织单纯的操作技能训练,化学计算技能的教学不能演变为缺乏化学意义的数学计算,化学技能性知识需要在理解有关化学知识的基础上学习和运用,B,化学
121,骨髓成分包括有机物和无机物，与成年人相比，儿童少年骨骼的特点是（）。,有机物多，无机物少，易变形,有机物多，无机物少，易骨折,有机物少，无机物多，易变形,有机物少，无机物多，易骨折,A,体育
122,膝关节是人体下肢屈伸运动的重要关节，组成它的3块骨骼是（）。,股骨、胫骨、腓骨,胫骨、腓骨、髌骨,股骨、胫骨、髌骨,股骨、腓骨、髌骨,C,体育
123,短跑运动中出现“拖腿跑”的主要原因之一是髂腰肌力量不足，采用哪种练习方法可以有效提高该肌肉的力量（）。,仰卧负重蹬伸,杠铃负重深蹲,负重高抬腿跑,坐位负重伸小腿,C,体育
124,人体对营养物质的消化包括物理性消化和化学性消化，其中化学性消化的主要场所是（）。,肝,胃,小肠,大肠,C,体育
125,长时间、大强度运动后，人体可能会出现血尿，其主要原因是肾的哪一部位受损（）。,肾大盏,肾小盏,集合管,肾小球,D,体育
126,骨骼肌的运动受躯体运动神经支配，其中支配股四头肌运动的脊神经是（）。,股神经,闭孔神经,坐骨神经,桡神经,A,体育
127,人体运动的速度可分为三种类型，投掷运动中器械出手的速度属于哪一类型？（）,反应速度,位移速度,动作速度,力量速度,C,体育
128,制定运动处方应考虑四大要素，其中能够体现“定量化”“科学化”的核心要素是（）。,运动强度,运动形式,运动时间,运动频度,A,体育
129,骨骼肌有多种收缩形式，负重深蹲的下降阶段臀大肌的收缩形式是（）。,向心收缩,等长收缩,离心收缩,超等长收缩,C,体育
130,运动可有效提高机体的免疫功能，下列哪一种负荷的运动效果最佳？（）,小负荷,中等负荷,大负荷,超大负荷,B,体育
131,运动时机体各器官的血流量要进行重新分配，其中内脏器官表现为（）。,先增加、后减少,增加,先减少、后增加,减少,D,体育
132,人体在青春发育期身体形态与机能表现出明显的性别差异，体育课中实施男女分组教学宜从哪一时期开始？（）,青春发育前期,青春发育中期,青春发育后期,青春发育期,A,体育
133,伤员的体位影响急救效果，在运动性伤病急救时，最常用的体位是（）。,俯卧位,仰卧位,侧卧位,坐卧位,B,体育
134,开放性和闭合性损伤现场处理均需止血，使用范围广且效果显著的方法是（）。,加压包扎,加垫屈肢,患肢抬高,间接指压,A,体育
135,不同运动损伤的症状和体征各异，现场检查时出现哪种症状或体征可判定为骨折？（）,功能丧失,活动受限,剧烈疼痛,假关节活动或骨摩擦音,D,体育
136,某初中生晨起参加学校的早操活动时，突然感觉头晕，有虚脱感，并伴有明显的饥饿感，可初步判断为（）。,运动性贫血,过度训练,运动性低血糖,重力性休克,C,体育
137,某初中生在体检时发现心脏有收缩期杂音，但无任何症状，运动机能试验正常，平时经常参加体育锻炼，在体育课健康分组时应编入（）。,准备组,基本组,医疗体育组,见习组,B,体育
138,人体运动时，最主要的能源物质是（）。,蛋白质,脂类,维生素,碳水化合物,D,体育
139,人体在运动疲劳时易出现小腿肌肉痉挛，按压承山穴可有效缓解，该穴位位于（）。,腓肠肌腹下方人字纹处正中,外踝与跟腱之间,外膝眼下三寸、胫骨外侧一横指,窝横纹下方,A,体育
140,身体运动有不同的分类方法，从运动解剖学的角度可分为（）。,内收运动、旋内运动、悬垂、支撑、平衡,内收运动、外展运动、有氧运动、无氧运动,旋内运动、旋外运动、平动、转动、鞭打,内收运动、外展运动、旋内运动、旋外运动,D,体育
141,体育体制是指国家组织管理体制的各种体育机构，制度和准则的总和，其构成要素包括（）。,机构、职能和制度,机构、形式和体制,制度、准则和秩序,制度、方式和手段,A,体育
142,体育教师在课堂教学中采用“预令和动令相连，预令拖音稍长，动令短促有力”的口令，在形式上属于（）。,短促口令,连续口令,断续口令,复合口令,B,体育
143,体育与健康课的类型可分为理论课和实践课，确定实践课结构的依据是（）。,学生生理活动变化规律、教与学的规律和精讲多练,学生心理活动变化规律、教与学的规律和精讲多练,学生生理活动变化规律、心理活动变化规律和教与学的规律,学生生理活动变化规律、心理活动变化规律和精讲多练,C,体育
144,在足球比赛中，优秀运动员总是能向同伴精准传出不同距离的球，最适合解释这一现象的理论是（）。,概括化理论,共同要素说,图式理论,双因素理论,C,体育
145,有凝聚力的团队更容易在赛场上取得成功，影响体育团体凝聚力的因素主要包括（）。,环境、个人、领导力和团体因素,计划、互动、满意度和运动成绩,角色、关系、归属感和任务方式,目的、合作、情感性和社会支持,A,体育
146,足球运动中，运球技术动作的触球方式是（）。,推拨式的触球,敲击式触球,推击式的触球,摆击式触球,A,体育
147,篮球单手肩上投篮技术要求下肢蹬地，身体协调用力，抬肘伸臂充分，球出手时要求腕关节（）。,旋内,旋外,前屈,后伸,C,体育
148,排球运动中有多种垫球技术，正面双手垫球动作常用的三种手型是（）。,叠指式、抱拳式、并掌式,叠指式、并掌式、互靠式,抱拳式、互靠式、并掌式,叠指式、抱拳式、互靠式,D,体育
149,在体操项目中，用手掌撑地，头部朝下、两臂和两腿均伸直的人体倒置动作称之为（）。,侧手翻,手倒立,前手翻,后手翻,B,体育
150,跑是单脚支撑与腾空相交替、蹬与摆相结合，动作协调连贯的周期运动，该技术的教学重点是（）。,蹬与摆相结合,支撑与腾空,两臂协调摆动,协调与放松,A,体育
151,在简化24式太极拳中，下列动作顺序衔接正确的选项是（）。,高探马—双峰贯耳—右蹬脚,手挥琵琶—白鹤亮翅—搂膝拗步,右蹬脚—双峰贯耳—高探马,白鹤亮翅—搂膝拗步—手挥琵琶,D,体育
152,依据体育与健康课程的单元教学计划，教师备课时首先应确定（）。,教学方法,教学内容,教学目标,教学任务,C,体育
153,在排球正面屈体扣球学习中，教师根据学生的身高等因素分别设置了1.9米、2.0米和2.1米三种高度的球网供学生练习，该教学策略属于（）。,主题教学策略,分层教学策略,多媒体教学策略,反思性教学策略,B,体育
154,体育教学评价涉及“为什么评”“评什么”“谁来评”“怎么评”四个基本问题，对于体育课堂教学中“谁来评”的问题一般不包括（）。,教师自我评价,学生评价,同行专家评价,家长评价,D,体育
