index,content,A,B,C,D,ans
128,星星眨巴眼睛，让人产生无限联想。繁星闪烁这一现象出现的原因()。,星星距离遥远,人看星星时不停眨眼,星星不断运动,大气密度不断变化,D
129,自由活动时，幼儿三五成群的在沙坑里玩耍，只有杰杰孤零零的站在旁边，一动不动。对此，老师恰当的做法是,只关注其他孩子，不理会杰杰。,告诉杰杰可以自己一个人玩。,要求杰杰过去与大家一起玩。,询问杰杰不与大家玩的原因。,D
130,国歌是代表国家的歌曲，以鼓舞爱国主义精神行为主题，往往能反映一个国家的历史，下屿法国国歌《马赛曲》诞生相关的(),普法战争,法国大革命,英法百年战争,拿破仑远征俄国,B
131,教育儿童从热爱英雄，如果给孩子们讲述“拔云手指天心月，拔剑光寒倭寇胆”的故事，下列人物，其事迹可作为讲述内容的是()。,霍去病,文天祥,戚继光,林则徐,C
132,果戈里是19世纪初著名作家，其作品对现实主义文学的发展影响很大，下列不属于果戈里作品的是(),色龙,死魂灵,外套,钦差大臣,A
133,“小刺猬理发小刺猬，去理发。嚓嚓嚓，嚓嚓嚓，理完头发瞧瞧他，不是小刺猬，是个小娃娃。”这首儿歌的作者是()。,鲁兵,乔羽,柯岩,任溶溶,A
134,中国古代神话中有一个人物，被砍了头仍不甘屈服，他以两乳为眼，肚脐当口，依然操着盾，握着斧，这个神话人物是(),蚩尤,后羿,刑天,共工,C
135,万里长城是由关隘、城台、烽火台和城墙组成的中国古代军事防御工程，长城的修筑历时十余个朝代，持续两千年，是人类历史上修筑时间最久的建筑工程，是世界建筑史上的奇迹。下列朝代中，修筑规模最大，历史最久的是()。,秦朝,西汉,北魏,明朝,D
136,毕加索是著名艺术家，其著名作品有《格尔尼卡》《和平鸽》等，毕加索的国籍是(),法国,荷兰,葡萄牙,西班牙,D
137,图文混排是word的特色功能之一，关于图文混排下列表述中，错误的是()。,可以在文档中插入图形,插入剪贴画,使用文本框,使用配色方案,D
138,在PowerPoint编辑某张幻灯片时，不能实现的插入操作是()。,“插入”->“图片”按钮,“插入”->“版式”按钮,“插入”->“表格”按钮,“插入”->“图表”按钮,B
139,下列选项中，与“水杯和瓷器”的逻辑关系相同的是(),“木制品”和“家具”,“鲸鱼”和“海鱼”,"“豆制品""和“大豆”",“河虾”和“河蟹”,A
140,按规律填数字是一个很有规律的活动特别锻炼观察和思考能力，按照1=3，2=9，3=15，4=()，5=27的规律，以吓选项中应填的是。,17,19,21,23,C
141,幼儿获得直接经验的方式是()。,听老师讲课,阅读图书,实际操作,看他人如何做,C
142,幼儿保育和教育工作从根本上来说是为了满足()。,家长的教育要求,上级领导的要求,小学的教育要求,幼儿发展的需求,D
143,建立良好幼师关系的前提是()。,传授丰富的知识,尊重理解幼儿,不批评幼儿义,满足幼儿的一切需求,B
144,发展幼儿语言表达能力的关键是让他们(),多交流多表达,多模仿别入说话,多认字多写字,多背涌经典,A
145,制定一日活动计划主要是依据()。,社会发展和幼儿身心发展的规律,当地文化特点和本班幼儿身心发展状况,本周计划和本班幼儿兴趣与需要,幼儿园和班级的学期计划,A
146,通过分析幼儿手工成果来了解其心理的方法是(),调查法,自然观察法,实验法,作品分析法,D
147,在幼儿记忆活动中占主要地位的是(),有意记忆,语调记忆,形象记忆,意义记忆,C
148,某一时期，儿童学习某种知识和形成某种能力比较容易，心理某个方面的发展最为迅速，儿童心理发展的这个时期被称为(),反抗期,敏感期,转折期,危机期,B
149,有些幼儿经常看电视上的暴力镜头，其攻击行为会明显增加，这是因为电视的暴力内容对幼儿攻击行为的习惯起到(),定势作用,惩罚作用,依赖作用,榜样作用,D
150,与婴儿最初的情绪反应相关联的是()。,生理的需要,归属和爱的需要,尊重的需要,自我实现的需要,A
151,马老师在活动反思中写道：“使用档案袋对幼儿的表现进行评价，经常需要花费些额外的时间，与其在这些花样上花时间，不如把精力多用在孩子身上。”这边明马老师()。,缺少幼儿学情分析意识,缺少经验提炼的能力,缺少幼儿发展评价能力,缺少教学决策的意识,A
152,米切尔·兰德曼说：“人较动物而言，在本质上是非决定的。此即人的生命并没有遵循事先决定的路线，事实上自然只是使人走完一半，另外的一半尚待人自身去完成。”对此正确的理解是()。,人的发展是定向的,人的发展是多向的,人的发展是全面的,人的发展是平衡的,B
153,—所幼儿园基于“数字化育人”办学理念，建立起“过程性数据”与“关键事件”相结合的幼儿发展评价信息系统，用以跟踪幼儿个体的成长过程，该做法体现的幼儿发展特点是()。,顺序性,独特性,自主性,创造性,B
154,“拼图”游戏时，王老师见东东反复地拿起这块放下那块，不知该拿出哪块，急得满脸通红、满头大汗。对此，王老师恰当的说法是(),“不要着急，我们再试试吧。”,“你看看，晓红是怎么拼的”,“试试红色正方形的拼板吧”,“仔细看—下颜色和形状”,D
155,依据《中华人民共和国宪法》，下列表述不正确的是()。,县级以上的地方各级人民政府设立审计机关,地方各级人民政府是地方各级国家权力机关,地方各级人民政府对本级人民代表大会负责并报告工作,地方各级人民政府都是国务院统一领导下的国家行政机关,B
156,依据联合国《儿童权利公约》，对儿童的养育和发展负有首要责任的是()。,学校和教师,父母或其他监护人,社会或企业,国家和当地人民政府,B
157,小孙是个流浪儿童，相关部门一直没有找到小孙的父母或其他监护人。对于小孙的监护问题，下列说法正确的是()。,应当由民政部门对小孙进行长期监护,应当由教育部门对小孙进行长期监护,应当由福利机构对小孙进行长期监护,应当由公安机关对小孙进行长期监护,C
158,教师张某在某民办幼儿园上班，因工作严重失误，被幼儿园解聘。张某不服，她可以采取的救济途径是()。,提出申诉和依法诉讼,劳动仲裁和行政复议,依法检举和行政复议,诉讼赔偿和行政管制,A
159,依据《中华人民共和国教育法》，相关社会公共文化体育设施等场所应当对教师、学生实行优待。下列场所不属于按规定优待开放的是()。,图书馆,博物馆,电影院,文化馆,C
160,幼儿园放学了，小米的父母没有时间去接她，就让读小学六年级的哥哥放学后去接她。小米父母的做法()。,正确。哥哥可代替父母接送小米,正确。幼儿可以由直系亲属接送,不正确。父母应该亲自接送小米,不正确。幼儿应该由成年人接送,D
161,良好的社会环境有利于促进未成年人的健康成长。下列选项属于社会保护的是()。,学生王某在学校突发疾病，学校及时通知家长并积极救护王某,解除羁押、服刑期满的未成年人的复学、升学、就业不受歧视,父母或者其他监护人不得使接受义务教育的未成年人辍学,任何组织或者个人不得披露未成年人的个人隐私,D
162,某学校年终对全体教师进行考核。根据《中华人民共和国教师法》的规定，下列说法正确的是()。,考核包括教师的师德师风、业务水平、育人业绩和管理水平,考核结果是教师受聘任教、晋升工资、实施奖惩的唯一依据,考核应当充分听取教师本人、其他教师以及学生家长的意见,上级教育行政部门可以对该校教师考核工作进行指导与监督,D
163,在一次教学活动中，黄老师问小朋友：“图上的月亮是什么样的呀?”大多数幼儿回答：“是圆的。”只有昊昊说：“月亮是弯弯的。”黄老师对昊昊说：“不对，图上的月亮明明就是圆的，这哪里是弯的?这表明黄老师()。,缺乏批评教育的艺术,没有活用素材的能力,没有关爱幼儿的情感,缺乏纪律管理的方法,B
164,第二天一早李老师就要交职称材料了，她发现还缺少2份听课材料。但是她已经没有时间听课了。李老师正确的做法是()。,请同事帮忙提供听课材料,参考同事教案改写听课材料,根据自己教案编写听课材料,直接放弃本次职称评定机会,D
165,午睡起床时，小班的李老师发现小朋友常将两只鞋子穿反，就编了首儿歌：“一双小鞋子，套上小脚丫。背对背，脸背脸，就像刚刚吵过架。咦——怎么了?”小朋友听完儿歌纷纷检查了自己的鞋子，“哦，小鞋子穿反了!”下列选项与该案例所体现的教师职业道德要求相符的是()。,“不闻不若闻之，闻之不若见之。”,“耳潘目染，不能以习。”,“不愤不启，不俳不发。”,“动人以言者，其感不深：动人以行者，其应必速。”,C
166,月月说话时有口吃现象，如“老……师好，我爷……爷送我来的。”老师不仅鼓励月月，还加强家园配合。该老师的做法体现的教师职业道德的特征是()。,多样性,双向性,专业性,复杂性,C
167,"罕见病是一类患病率极低的疾病，但由于种类很多，而且中国人口基数庞大，因此罕见病患者并不罕见。下列选项中，俗称为“月亮孩子""的罕见病是()。",白化病,戈谢病,血友病,脆骨病,A
168,阿尔卑斯山脉是欧洲最高大的山脉，其主干向东延伸为喀尔巴阡山脉，向东南延伸为迪纳拉山脉，向南延伸为亚平宁山脉，向西南延伸为比利牛斯山脉，下列选项中，境内没有阿尔卑斯山脉及其支脉的国家是()。,法国,意大利,瑞士,挪威,D
169,风俗是历代相沿积久而成的风尚、习俗。历代统治者都把“厚风俗”作为治国安民的大事。下列选项中，不属于民国初期采取的移风易俗措施的是()。,剪辫易服,禁用棺木,劝禁缠足,废除跪拜,B
170,“小满”是二十四节气之一，这时，江南大麦进入黄熟期，油菜籽成熟，蚕开始结茧。古时有“小满动三车”的习俗，下列选项中，不属于“三车”的是()。,纺车,滑车,油车,水车,B
171,理学，也叫道学，是宋明儒家哲学思想，影响深远。很多思想家为理学的形成和发展作出了重要贡献。下列理学家中，人称“濂溪先生”的是()。,周敦颐,邵雍,程颗,王守仁,A
172,章回体小说是中国古代长篇小说的主要形式，主要特点是分回标目，故事连接，段落整齐。下列选项中，不属于章回体小说的是()。,《水浒传》,《儒林外史》,《红楼梦》,《聊斋志异》,D
173,《小布头奇遇记》描写布娃娃“小布头”偶然从城里来到乡下，经历了种种奇遇，开阔了眼界，懂得了许多道理。这部童话作者是()。,严文井,张天翼,孙幼军,曹文轩,C
174,Word文档中，要将一张图片作为一段文字的背景，应该将图片版式设置为()。,四周型环绕,紧密型环绕,浮于文字上方,浮于文字下方,D
175,在用Exce1制作表格时，可实现输入数字字符串0210409的是()。,[0210409],"""0210409""",210409,'0210409,D
176,下列选项中，与“首饰——镯子”的逻辑关系相同的是()。,“汽车”和“轮胎”,“石窟”和“石雕”,“玉石”和“翡翠”,“摆件”和“胸针”,C
177,根据《托儿所幼儿园卫生保健工作规定》规定，3-6岁儿童平均每年健康检查的次数是（）,1次,2次,3次,4次,A
178,"下列对儿童的看法,正确的是（）",儿童是无知不能的,儿童不是微缩的成人,儿童可以按成人的意愿随意塑造,儿童是家庭的私有财产,B
179,幼儿园创设物质环境时首先应考虑的要求是（）,经济性,安全卫生性,功能性,美观性,B
180,关于幼儿言语的发展顺序，下列说法正确的是（）,言语理解先于言语表达,言语表达先于言语理解,言语理解与言语表达平行发展,言语理解与言语表达独立发展,A
181,幼儿对自己消极情绪的掩饰，说明其情绪的发展已经开始（）,深刻化,丰富化,内隐性,精细化,C
182,关于自发性游戏的正确观点是（）,幼儿园游戏不包括自发性游戏,自发性游戏不需要教师指导,教师组织的游戏比自发性游戏有价值,自发性游戏具有多种教育价值,D
183,下列选项中不符合蒙台梭利教育观念的是（）,儿童存在着与生俱来的“内在生命力”,教育应让儿童获得自然的和自由的发展,幼儿教师是揭示儿童内心世界的观察者,自由游戏是儿童学习的主要方式,D
184,导致“狼孩”心理发展滞后的主要因素是（）,遗传有缺陷,生理成熟迟滞,自然环境恶劣,社会环境缺乏,D
185,婴儿动作发展的正确顺序是（）,翻身→坐→抬头→站→走,抬头→翻身→坐→站→走,翻身→抬头→坐→站→走,抬头→坐→翻身→站→走,B
186,4岁的瑞瑞不小心把小碗里的葡萄干撒在桌子上后，很惊奇地说，“哦。我的葡萄干变多了!”这说明他的思维处于（）,感知运动阶段,前运算阶段,具体运算阶段,形式运算阶段,B
187,教学活动中，洋洋趁老师不注意溜出教室。当邓老师试图伸手抓住他时，他故意让老师追自己，就像在玩追逐游戏。对此，邓老师应该()。,让家长领洋洋回家教育,让洋洋在户外自由活动,牵着洋洋的手回到教室,关闭房门不让洋洋进入,C
188,在幼儿园任教多年的窦老师有意识的自我规划，以谋求最大程度的自我发展，关注学生整体发展，积累了比较科学的个人实践知识。窦老师所处的教师专业发展阶段是()。,生存关注阶段,虚拟关注阶段,任务关注阶段,自我更新关注阶段,D
189,超超属于大(2)班里少数不会跳绳的孩子。户外活动时，梅老师对超超说：“今天老师看到你用尽全力在跳，相信你还可以做得更好!”这表明梅老师()。,未能把握教育契机,善于创设学习环境,未能提供针对性指导,善于改进教学策略,D
190,班里养的金鱼死了，孩子们纷纷围了过来，你一言我一语的谈论起来：“怎么就死了呢”“不对呀，他还睁着眼睛呢!”对此，老师恰当的做法是()。,埋怨孩子们投喂了过多食饵,对孩子们提出问题不予回应,让孩子们回家问爸妈,引导孩子们讨论金鱼死亡原因,D
191,依据《中华人民共和国宪法》，下列说法不正确的是()。,国家发展学前教育,国家发展义务教育,国家发展中等教育,国家发展高等教育,B
192,区域活动时，毛毛把安安打哭了，田老师把毛毛关进卫生间反省，毛毛的父母知道后，来幼儿园把教室里的东西砸得稀烂。下列说法正确的是()。,毛毛父母应承担刑事附带民事法律责任,毛毛父母应承担行政附带民事法律责任,田老师和毛毛父母应承担刑事附带民事法律责任,田老师和毛毛父母应承担行政附带民事法律责任,A
193,中国实行教师职务制度，中国教师职务制度的具体办法为()。,国务院规定,教育部规定,省级教育行政部门规定,县级教育行政部门规定,A
194,依据相关法律和行政法规，下列情形应当予以行政处罚的是()。,出版未经依法审定的教科书的,学校分设重点班和非重点班的,校非法收取或者摊派费用的,改变或者变相改变公办学校性质的,A
195,爸爸把自己抽的电子烟给小学生兵兵吸了一口，兵兵呛得直咳，妈妈责怪爸爸，爸爸说电子烟对身体没有危害。对此，下列说法正确的是()。,电子烟不是烟，未成年人吸也没有问题,任何人不得唆使未成年人吸烟(含电子烟),未成年人偶尔吸口烟(含电子烟)没关系,学生上了初中以后才可以吸烟(含电子烟),B
196,刚从师范大学毕业的小王取得了教师资格证书，到幼儿园报到后才知道还有试用期。小王认为自己已经获得了教师资格证书，又毕业于师范大学，不应该再有试用期。对于幼儿园的做法，下列说法正确的是()。,师范大学毕业生经过了教师教学实习，入职后不需要试用期,教师资格考试包括对教师技能的考察，入职后不需要试用期,取得教师资格的人员首次任教时，应有试用期,无论什么身份，从事教师职业都需要有,C
197,幼儿园户外活动时，妞妞与丁丁撞到一起，丁丁摔倒并擦伤了手肘。对于丁丁所受伤，应承担赔偿责任的是()。,幼儿园,妞妞的监护人,妞妞与丁丁的班主任老师,妞妞的监护人与丁丁的监护人,A
198,某公立幼儿园为增加收入，与某机构围绕幼小衔接联合举办了一系列线上线下相结合的辅导活动，解决了经费难题。幼儿园的做法()。,落实了幼小衔接的政策要求,探索出了开放办园的新途径,违反了《幼儿园工作规程》的相关规定,违反了《中华人民共和国末成年人保护法》的规定,C
199,活动开始后，冬冬突然躲到柜子后面，张老师让他出来，可他就是不动。张老师生气地说：“赶紧出来!不出来就让大灰狼把你带走!”冬冬害怕极了，赶忙出来了。这表明张老师()。,没有体现教师的教学权威,没有尊重幼儿的独特心理,没有损害幼儿的人格尊严,没有关注幼儿的权利保护,B
200,李老师组织绘画活动前，首先思考这次活动对幼儿的意义，根据本班幼儿的年龄特点，接受能力判断本次活动的目标是否合适，活动过程能否引起幼儿的兴趣，活动后还进行了反思。李老师的行为体现的教师职业道德的作用是()。,评价作用,引导作用,动力作用,示范作用,A
201,小豆5岁了，说话发音还不太清楚，陈老师除平时鼓励外，还专门查了很多相关资料并制定矫正方案，通过老师的日常指导，以及儿歌、绕口令的练习，小豆有了较大进步，下列选择中与该案例教师职业道德要求相符合的是()。,学而不思则罔，思而不学则殆,道而弗牵，强而弗抑，开而弗达,其身正，不令而行;起身不正，虽令不从,圣贤施教，各因其材，小以小成，大以大成,D
202,一次活动后，夏老师看到一个孩子钻到桌子底下，趴在地上，于是夏老师将他叫起，问他地上这么脏，为什么趴在地上。他听后委屈的落泪，小声说：“老师，地上有纸屑，我想把他捡干净。”夏老师点了点头。该案例表明师幼关系具有()。,选择性,教育性,互动性,自觉性,C
